no.,헌법,언어,자료,상황
1,2,1,1,1
2,2,4,1,5
3,4,1,2,3
4,3,5,5,5
5,3,3,3,1
6,4,3,1,2
7,3,2,5,2
8,1,5,5,4
9,1,3,4,1
10,4,2,5,4
11,3,4,1,1
12,4,1,4,2
13,2,2,3,4
14,4,5,2,1
15,4,3,5,4
16,3,3,2,5
17,1,4,5,1
18,2,3,2,4
19,4,1,4,2
20,2,2,2,3
21,4,5,2,2
22,4,5,3,4
23,4,2,4,1
24,3,1,4,3
25,3,2,4,3
26,,3,4,3
27,,2,1,4
28,,2,5,3
29,,1,5,2
30,,1,1,4
31,,3,3,5
32,,1,1,5
33,,1,1,3
34,,2,3,2
35,,5,3,3
36,,1,3,3
37,,4,2,1
38,,1,5,2
39,,2,2,5
40,,4,4,4
