no.,헌법,언어,자료,상황
1,4,5,2,1
2,3,1,3,5
3,2,5,3,5
4,4,4,1,5
5,4,1,1,3
6,1,4,4,4
7,1,3,5,2
8,1,5,5,4
9,2,1,1,4
10,3,2,2,4
11,2,4,4,3
12,2,5,2,1
13,3,2,5,5
14,1,5,2,3
15,3,2,4,1
16,3,5,4,3
17,4,4,3,1
18,1,3,5,4
19,4,4,2,2
20,2,3,4,3
21,3,4,1,3
22,3,3,3,1
23,2,4,1,5
24,1,2,3,5
25,1,2,5,1
26,,1,3,4
27,,3,4,2
28,,2,5,4
29,,2,2,2
30,,2,5,3
31,,4,4,2
32,,3,4,3
33,,3,1,4
34,,4,1,3
35,,1,3,1
36,,3,5,2
37,,5,2,5
38,,1,5,2
39,,5,3,5
40,,1,2,2
